model,state,WaitTime,Efficacy,SideEffects,P_static,pi_llm,pi_bdt
Qwen2.5-72B,1,0.0,0.3,0.0,0.6077361,0.22,0.5108020750000001
Qwen2.5-72B,2,2.0,0.3,0.0,0.47575702,0.31,0.43431776499999997
Qwen2.5-72B,3,4.0,0.3,0.0,0.3470794,0.53,0.39280955
Qwen2.5-72B,4,6.0,0.3,0.0,0.23744188,0.47000000000000003,0.29558141
Qwen2.5-72B,5,0.0,0.5,0.0,0.67473428,0.525,0.63730071
Qwen2.5-72B,6,2.0,0.5,0.0,0.54855217,0.43,0.5189141275
Qwen2.5-72B,7,4.0,0.5,0.0,0.41580187,0.285,0.38310140249999997
Qwen2.5-72B,8,6.0,0.5,0.0,0.2942388,0.74,0.4056791
Qwen2.5-72B,9,0.0,0.7,0.0,0.73527385,0.45999999999999996,0.6664553875
Qwen2.5-72B,10,2.0,0.7,0.0,0.61932712,0.485,0.58574534
Qwen2.5-72B,11,4.0,0.7,0.0,0.48796214,0.729,0.548221605
Qwen2.5-72B,12,6.0,0.7,0.0,0.35823922,0.49,0.39117941500000003
Qwen2.5-72B,13,0.0,0.9,0.0,0.7880845,0.38,0.6860633749999999
Qwen2.5-72B,14,2.0,0.9,0.0,0.6853705,0.854,0.727527875
Qwen2.5-72B,15,4.0,0.9,0.0,0.56062769,0.889,0.6427207675
Qwen2.5-72B,16,6.0,0.9,0.0,0.42772381,0.559,0.4605428575
Qwen2.5-72B,17,0.0,0.3,1.0,0.58325594,0.32,0.517441955
Qwen2.5-72B,18,2.0,0.3,1.0,0.45048777,0.475,0.45661582749999996
Qwen2.5-72B,19,4.0,0.3,1.0,0.32441531,0.525,0.3745614825
Qwen2.5-72B,20,6.0,0.3,1.0,0.21952991,0.34500000000000003,0.2508974325
Qwen2.5-72B,21,0.0,0.5,1.0,0.65204138,0.25,0.551531035
Qwen2.5-72B,22,2.0,0.5,1.0,0.52327579,0.618,0.5469568425
Qwen2.5-72B,23,4.0,0.5,1.0,0.39133992,0.479,0.41325493999999996
Qwen2.5-72B,24,6.0,0.5,1.0,0.27357939,0.455,0.3189345425
Qwen2.5-72B,25,0.0,0.7,1.0,0.71502072,0.38,0.63126554
Qwen2.5-72B,26,2.0,0.7,1.0,0.59508838,0.5599999999999999,0.586316285
Qwen2.5-72B,27,4.0,0.7,1.0,0.46261669,0.51,0.4744625175
Qwen2.5-72B,28,6.0,0.7,1.0,0.33522054,0.425,0.35766540500000005
Qwen2.5-72B,29,0.0,0.9,1.0,0.77061121,0.53,0.7104584075
Qwen2.5-72B,30,2.0,0.9,1.0,0.66304908,0.795,0.69603681
Qwen2.5-72B,31,4.0,0.9,1.0,0.53545485,0.609,0.5538411375000001
Qwen2.5-72B,32,6.0,0.9,1.0,0.40304437,0.555,0.4410332775
Qwen2.5-72B,33,0.0,0.3,2.0,0.55835826,0.413,0.522018695
Qwen2.5-72B,34,2.0,0.3,2.0,0.4254714,0.505,0.44535355
Qwen2.5-72B,35,4.0,0.3,2.0,0.3025454,0.33,0.30940905
Qwen2.5-72B,36,6.0,0.3,2.0,0.20261015,0.395,0.2507076125
