model,lambda,MSE,MAE,CHR_Wait,CHR_SE,Spearman_rho,Note
Qwen2.5-72B,0.00,0.0000,0.0000,0.0000,0.0000,1.0000,Pure-DCE
Qwen2.5-72B,0.10,0.0003,0.0127,0.0729,0.2604,0.9372,
Qwen2.5-72B,0.20,0.0010,0.0254,0.2396,0.4375,0.7730,
Qwen2.5-72B,0.25,0.0016,0.0318,0.3021,0.4688,0.6908,Main
Qwen2.5-72B,0.30,0.0023,0.0381,0.3854,0.4896,0.5971,
Qwen2.5-72B,0.40,0.0041,0.0508,0.4688,0.5208,0.4333,
Qwen2.5-72B,0.50,0.0065,0.0635,0.5104,0.5312,0.3255,
Qwen2.5-72B,0.60,0.0093,0.0762,0.5208,0.5312,0.2472,
Qwen2.5-72B,0.70,0.0127,0.0890,0.5521,0.5417,0.1752,
Qwen2.5-72B,0.75,0.0145,0.0953,0.5729,0.5417,0.1502,
Qwen2.5-72B,0.80,0.0165,0.1017,0.6042,0.5417,0.1208,
Qwen2.5-72B,0.90,0.0209,0.1144,0.6042,0.5521,0.0934,
Qwen2.5-72B,1.00,0.0258,0.1271,0.6250,0.5521,0.0608,Unconstrained LLM
