model,method,metric,est,lo,hi
Qwen2.5-72B-Instruct,Unconstrained LLM,MSE,0.025783647940091976,0.017384848167918965,0.03499652550196042
Qwen2.5-72B-Instruct,Unconstrained LLM,MVR_Wait,0.625,,
Qwen2.5-72B-Instruct,Unconstrained LLM,rho,0.06076494244093296,-0.17836791465093046,0.3042217592382932
Qwen2.5-72B-Instruct,Static-BDT Anchor,MSE,0.0016114779962557485,0.0011018597494643091,0.0022015204146693455
Qwen2.5-72B-Instruct,Static-BDT Anchor,MVR_Wait,0.3020833333333333,,
Qwen2.5-72B-Instruct,Static-BDT Anchor,rho,0.6885531135531134,0.5265661137351351,0.8011552598019418
DeepSeek V4,Unconstrained LLM,MSE,0.03789437281329339,0.026628141195102005,0.050539949911273
DeepSeek V4,Unconstrained LLM,MVR_Wait,0.34375,,
DeepSeek V4,Unconstrained LLM,rho,0.30248138068328734,0.07137760350699822,0.5122931865214809
DeepSeek V4,Static-BDT Anchor,MSE,0.0023683983008308362,0.001686930173941447,0.0031427730548462623
DeepSeek V4,Static-BDT Anchor,MVR_Wait,0.07291666666666667,,
DeepSeek V4,Static-BDT Anchor,rho,0.8122710622710622,0.6831539449341869,0.8885245713761803
MiroThinker-1.7-mini,Unconstrained LLM,MSE,0.0871733452802787,0.06622356461653117,0.11067238486589952
MiroThinker-1.7-mini,Unconstrained LLM,MVR_Wait,0.10416666666666667,,
MiroThinker-1.7-mini,Unconstrained LLM,rho,0.5305515652948177,0.30696629494318856,0.696620473065657
MiroThinker-1.7-mini,Static-BDT Anchor,MSE,0.005448334080017419,0.004129549483218482,0.006975815961988488
MiroThinker-1.7-mini,Static-BDT Anchor,MVR_Wait,0.08333333333333333,,
MiroThinker-1.7-mini,Static-BDT Anchor,rho,0.7563644688644688,0.584868648015244,0.8860468299593374
