state,wait,eff,se,U,P_static
1,0,0.3,0.0,0.12389999999999998,0.5309354354244884
2,0,0.3,0.1,0.12024999999999998,0.5300263268366445
3,0,0.3,0.2,0.11659999999999998,0.5291170189576817
4,0,0.3,0.3,0.11294999999999998,0.5282075177811466
5,0,0.5,0.0,0.2065,0.5514423284002571
6,0,0.5,0.1,0.20285,0.5505393188926601
7,0,0.5,0.2,0.1992,0.5496359761703214
8,0,0.5,0.3,0.19555,0.5487323060694606
9,0,0.7,0.0,0.28909999999999997,0.5717757837673746
10,0,0.7,0.1,0.28545,0.5708818545022377
11,0,0.7,0.2,0.2818,0.5699874625653544
12,0,0.7,0.3,0.27814999999999995,0.5690926135597966
13,0,0.9,0.0,0.3717,0.5918696944095866
14,0,0.9,0.1,0.36805,0.5909877057852256
15,0,0.9,0.2,0.3644,0.5901051311410085
16,0,0.9,0.3,0.36074999999999996,0.5892219757775672
17,2,0.3,0.0,0.005499999999999977,0.5013749965338646
18,2,0.3,0.1,0.001849999999999977,0.5004624998680912
19,2,0.3,0.2,-0.001800000000000023,0.49955000012149997
20,2,0.3,0.3,-0.0054500000000000225,0.4986375033724613
21,2,0.5,0.0,0.08809999999999998,0.5220107652599938
22,2,0.5,0.1,0.08444999999999998,0.5210999614271632
23,2,0.5,0.2,0.08079999999999998,0.5201890172928251
24,2,0.5,0.3,0.07714999999999998,0.5192779388939539
25,2,0.7,0.0,0.17069999999999996,0.5425716773012398
26,2,0.7,0.1,0.16704999999999998,0.5416656525921316
27,2,0.7,0.2,0.16339999999999996,0.5407593522656051
28,2,0.7,0.3,0.15974999999999998,0.5398527822356897
29,2,0.9,0.0,0.25329999999999997,0.5629885759983106
30,2,0.9,0.1,0.24964999999999998,0.5620903520829684
31,2,0.9,0.2,0.24599999999999997,0.5611917209472044
32,2,0.9,0.3,0.24234999999999998,0.5602926883040739
33,4,0.3,0.0,-0.11290000000000003,0.47180494245322135
34,4,0.3,0.1,-0.11655000000000003,0.4708954386704125
35,4,0.3,0.2,-0.12020000000000003,0.46998612810303664
36,4,0.3,0.3,-0.12385000000000003,0.4690770167447114
37,4,0.5,0.0,-0.03030000000000002,0.49242557949111004
38,4,0.5,0.1,-0.03395000000000002,0.49151331513219104
39,4,0.5,0.2,-0.03760000000000002,0.49060110728878953
40,4,0.5,0.3,-0.04125000000000002,0.48968896203150014
41,4,0.7,0.0,0.05229999999999996,0.5130720204885842
42,4,0.7,0.1,0.04864999999999996,0.5121601016944134
43,4,0.7,0.2,0.04499999999999996,0.5112481019468548
44,4,0.7,0.3,0.041349999999999956,0.5103360273109621
45,4,0.9,0.0,0.13489999999999996,0.5336739489102078
46,4,0.9,0.1,0.13124999999999998,0.53276547712076
47,4,0.9,0.2,0.12759999999999996,0.5318567880100281
48,4,0.9,0.3,0.12394999999999996,0.530947887555167
49,6,0.3,0.0,-0.23130000000000003,0.44243142982688693
50,6,0.3,0.1,-0.23495000000000002,0.44153121659586125
51,6,0.3,0.2,-0.23860000000000003,0.4406313875133461
52,6,0.3,0.3,-0.24225000000000002,0.43973194832362017
53,6,0.5,0.0,-0.14870000000000003,0.46289334904566554
54,6,0.5,0.1,-0.15235,0.4619859986418345
55,6,0.5,0.2,-0.15600000000000003,0.4610788999945346
56,6,0.5,0.3,-0.15965000000000001,0.46017205903886377
57,6,0.7,0.0,-0.06610000000000005,0.48348101413858097
58,6,0.7,0.1,-0.06975000000000005,0.48256956610626034
59,6,0.7,0.2,-0.07340000000000005,0.48165823404105607
60,6,0.7,0.3,-0.07705000000000005,0.4807470239902558
61,6,0.9,0.0,0.01649999999999996,0.5041249064166103
62,6,0.9,0.1,0.012849999999999959,0.5032124557960607
63,6,0.9,0.2,0.009199999999999958,0.5022999837774706
64,6,0.9,0.3,0.0055499999999999595,0.5013874964384719
