lambda,MSE,MAE,MVR_Wait,MVR_SE,Spearman_rho
0.0,0.0,0.0,0.0,0.0,1.0
0.1,0.000202,0.0115,0.0,0.5938,0.9422
0.2,0.000808,0.023,0.1146,0.6042,0.8235
0.25,0.001262,0.0288,0.2083,0.6042,0.7508
0.3,0.001817,0.0345,0.2917,0.625,0.6674
0.4,0.003231,0.0461,0.3854,0.625,0.5505
0.5,0.005048,0.0576,0.4583,0.625,0.457
0.6,0.00727,0.0691,0.4896,0.625,0.3895
0.7,0.009895,0.0806,0.5208,0.625,0.3341
0.8,0.012924,0.0921,0.5312,0.625,0.2878
0.9,0.016357,0.1036,0.5417,0.625,0.2588
1.0,0.020193,0.1151,0.5521,0.625,0.2413
