model,lambda,MSE,MAE,MVR_Wait,Spearman_rho,P_static_mean
Qwen2.5-72B-Instruct,0.0,0.0,0.0,0.0,0.9999999999999998,0.5567026153348226
Qwen2.5-72B-Instruct,0.1,0.0002583816469160089,0.012708321377101872,0.125,0.937179487179487,0.5567026153348226
Qwen2.5-72B-Instruct,0.2,0.0010335265876640352,0.02541664275420374,0.3333333333333333,0.7729853479853479,0.5567026153348226
Qwen2.5-72B-Instruct,0.25,0.001614885293225056,0.03177080344275469,0.375,0.6907967032967032,0.5567026153348226
Qwen2.5-72B-Instruct,0.3,0.002325434822244081,0.03812496413130563,0.3958333333333333,0.5971153846153845,0.5567026153348226
Qwen2.5-72B-Instruct,0.4,0.0041341063506561415,0.05083328550840749,0.4583333333333333,0.43333333333333324,0.5567026153348226
Qwen2.5-72B-Instruct,0.5,0.006459541172900223,0.06354160688550937,0.5,0.3254578754578754,0.5567026153348226
Qwen2.5-72B-Instruct,0.6,0.009301739288976322,0.07624992826261125,0.5208333333333334,0.2472069597069597,0.5567026153348226
Qwen2.5-72B-Instruct,0.7,0.012660700698884437,0.08895824963971312,0.5416666666666666,0.1752289377289377,0.5567026153348226
Qwen2.5-72B-Instruct,0.75,0.014533967639025503,0.09531241032826406,0.5416666666666666,0.1502289377289377,0.5567026153348226
Qwen2.5-72B-Instruct,0.8,0.01653642540262457,0.10166657101681499,0.5416666666666666,0.12083333333333332,0.5567026153348226
Qwen2.5-72B-Instruct,0.9,0.020928913400196723,0.11437489239391686,0.5416666666666666,0.0934065934065934,0.5567026153348226
Qwen2.5-72B-Instruct,1.0,0.02583816469160089,0.12708321377101872,0.5416666666666666,0.06076494244093296,0.5567026153348226
DeepSeek V4,0.0,0.0,0.0,0.0,0.9999999999999998,0.5567026153348226
DeepSeek V4,0.1,0.0003782391071563703,0.015685107620254737,0.020833333333333332,0.9561355311355311,0.5567026153348226
DeepSeek V4,0.2,0.0015129564286254825,0.031370215240509494,0.08333333333333333,0.8604853479853479,0.5567026153348226
DeepSeek V4,0.25,0.002363994419727312,0.039212769050636836,0.08333333333333333,0.8110347985347984,0.5567026153348226
DeepSeek V4,0.3,0.003404151964407328,0.047055322860764186,0.16666666666666666,0.7531593406593405,0.5567026153348226
DeepSeek V4,0.4,0.0060518257145019206,0.06274043048101893,0.1875,0.6516025641025641,0.5567026153348226
DeepSeek V4,0.5,0.009455977678909249,0.07842553810127367,0.2916666666666667,0.5618589743589744,0.5567026153348226
DeepSeek V4,0.6,0.013616607857629318,0.0941106457215284,0.3333333333333333,0.4915750915750915,0.5567026153348226
DeepSeek V4,0.7,0.01853371625066213,0.10979575334178313,0.375,0.4347069597069596,0.5567026153348226
DeepSeek V4,0.75,0.021275949777545808,0.1176383071519105,0.375,0.41094322344322337,0.5567026153348226
DeepSeek V4,0.8,0.02420730285800768,0.12548086096203787,0.375,0.38589743589743586,0.5567026153348226
DeepSeek V4,0.9,0.030637367679665975,0.1411659685822926,0.375,0.34180402930402926,0.5567026153348226
DeepSeek V4,1.0,0.037823910715636996,0.15685107620254732,0.375,0.30248138068328734,0.5567026153348226
MiroThinker-1.7-mini,0.0,0.0,0.0,0.0,0.9999999999999998,0.5567026153348226
MiroThinker-1.7-mini,0.1,0.0008727492508956067,0.02644782454841333,0.041666666666666664,0.9196886446886445,0.5567026153348226
MiroThinker-1.7-mini,0.2,0.003490997003582428,0.05289564909682668,0.041666666666666664,0.8123626373626373,0.5567026153348226
MiroThinker-1.7-mini,0.25,0.0054546828180975435,0.06611956137103335,0.08333333333333333,0.7578754578754578,0.5567026153348226
MiroThinker-1.7-mini,0.3,0.007854743258060466,0.07934347364524003,0.08333333333333333,0.7280677655677655,0.5567026153348226
MiroThinker-1.7-mini,0.4,0.013963988014329718,0.10579129819365338,0.08333333333333333,0.7113095238095237,0.5567026153348226
MiroThinker-1.7-mini,0.5,0.02181873127239018,0.1322391227420667,0.08333333333333333,0.689514652014652,0.5567026153348226
MiroThinker-1.7-mini,0.6,0.03141897303224186,0.15868694729048005,0.08333333333333333,0.6842032967032966,0.5567026153348226
MiroThinker-1.7-mini,0.7,0.042764713293884746,0.18513477183889337,0.08333333333333333,0.6788003663003662,0.5567026153348226
MiroThinker-1.7-mini,0.75,0.04909214536287791,0.1983586841131001,0.08333333333333333,0.6788003663003662,0.5567026153348226
MiroThinker-1.7-mini,0.8,0.05585595205731887,0.21158259638730675,0.08333333333333333,0.6788003663003662,0.5567026153348226
MiroThinker-1.7-mini,0.9,0.07069268932254419,0.23803042093572008,0.08333333333333333,0.6788003663003662,0.5567026153348226
MiroThinker-1.7-mini,1.0,0.08727492508956072,0.2644782454841334,0.08333333333333333,0.5305515652948177,0.5567026153348226
