share_pct,share,seed,n_respondents,source,MSE,MAE,CHR_Wait,CHR_SE,Spearman_rho,Pearson_r
30,0.30,1,308,conditional_logit_6param_seed_1,0.00966291,0.09008081,0.3542,0.5729,0.5941,0.5670
30,0.30,2,308,conditional_logit_6param_seed_2,0.01260650,0.10476879,0.3333,0.4167,0.6717,0.6513
30,0.30,3,308,conditional_logit_6param_seed_3,0.00777713,0.07928767,0.2708,0.5312,0.6932,0.6774
30,0.30,4,308,conditional_logit_6param_seed_4,0.00980504,0.09170602,0.2708,0.5104,0.7082,0.6875
30,0.30,5,308,conditional_logit_6param_seed_5,0.01589366,0.12041029,0.3333,0.4062,0.6636,0.6420
50,0.50,1,514,conditional_logit_6param_seed_1,0.00721090,0.07504006,0.3646,0.5417,0.6124,0.5850
50,0.50,2,514,conditional_logit_6param_seed_2,0.01050036,0.09558164,0.2708,0.5104,0.7276,0.7055
50,0.50,3,514,conditional_logit_6param_seed_3,0.00910689,0.08751721,0.2708,0.4792,0.7111,0.6839
50,0.50,4,514,conditional_logit_6param_seed_4,0.00812745,0.08180031,0.2917,0.4792,0.6891,0.6722
50,0.50,5,514,conditional_logit_6param_seed_5,0.01390274,0.11211144,0.3021,0.4688,0.6897,0.6607
70,0.70,1,719,conditional_logit_6param_seed_1,0.00849350,0.08358627,0.3438,0.4896,0.6582,0.6311
70,0.70,2,719,conditional_logit_6param_seed_2,0.01085536,0.09738824,0.2500,0.4375,0.7493,0.7248
70,0.70,3,719,conditional_logit_6param_seed_3,0.01334016,0.10859289,0.3646,0.4271,0.6301,0.6140
70,0.70,4,719,conditional_logit_6param_seed_4,0.01013189,0.09248194,0.3646,0.4688,0.6254,0.6166
70,0.70,5,719,conditional_logit_6param_seed_5,0.00762121,0.07950240,0.2500,0.5312,0.7368,0.7152
100,1.00,1,1027,full_sample_6param_grid,0.00161489,0.03177080,0.3021,0.4688,0.6908,0.6661
100,1.00,2,1027,full_sample_6param_grid,0.00161489,0.03177080,0.3021,0.4688,0.6908,0.6661
100,1.00,3,1027,full_sample_6param_grid,0.00161489,0.03177080,0.3021,0.4688,0.6908,0.6661
100,1.00,4,1027,full_sample_6param_grid,0.00161489,0.03177080,0.3021,0.4688,0.6908,0.6661
100,1.00,5,1027,full_sample_6param_grid,0.00161489,0.03177080,0.3021,0.4688,0.6908,0.6661
