share,seed,model_type,n_respondents,selected_lambda,MSE,MAE,CHR_Wait,CHR_SE,Spearman_rho,Pearson_r,beta_WaitTime,beta_VaccineEfficacy,beta_SideEffects
0.30,1,conditional_logit,308,0.25,0.02871482,0.14508991,0.2500,0.5729,0.5995,0.6040,-0.071467,1.172696,0.012329
0.30,2,conditional_logit,308,0.35,0.03119241,0.15384627,0.4062,0.5000,0.4990,0.5032,-0.073570,1.463311,-0.040739
0.30,3,conditional_logit,308,0.30,0.02855043,0.14638991,0.2812,0.5000,0.5957,0.6019,-0.087353,1.446346,-0.033411
0.30,4,conditional_logit,308,0.30,0.02992737,0.14914383,0.3125,0.5521,0.5678,0.5758,-0.081427,1.361080,-0.001198
0.30,5,conditional_logit,308,0.10,0.02339805,0.12898737,0.0521,0.0625,0.7943,0.8047,-0.081958,1.309307,-0.074389
0.50,1,conditional_logit,514,0.25,0.02854759,0.14524048,0.2500,0.5312,0.6036,0.6088,-0.071094,1.224877,-0.008445
0.50,2,conditional_logit,514,0.25,0.02756375,0.14262712,0.2396,0.5000,0.6451,0.6635,-0.088772,1.389378,-0.023632
0.50,3,conditional_logit,514,0.25,0.02811028,0.14432997,0.2396,0.4792,0.6300,0.6478,-0.083054,1.394427,-0.035250
0.50,4,conditional_logit,514,0.30,0.02938577,0.14832236,0.3333,0.5312,0.5610,0.5677,-0.076956,1.335746,-0.015092
0.50,5,conditional_logit,514,0.20,0.02550974,0.13695691,0.1562,0.4271,0.7139,0.7156,-0.084394,1.323298,-0.043269
0.70,1,conditional_logit,719,0.25,0.02880354,0.14605794,0.2500,0.5208,0.6079,0.6170,-0.073328,1.296515,-0.021896
0.70,2,conditional_logit,719,0.20,0.02653016,0.13903475,0.1458,0.4271,0.7157,0.7198,-0.088408,1.395605,-0.042014
0.70,3,conditional_logit,719,0.25,0.02841917,0.14569331,0.2500,0.4479,0.6007,0.6089,-0.069436,1.304573,-0.042845
0.70,4,conditional_logit,719,0.30,0.02977997,0.14965494,0.3542,0.5208,0.5439,0.5467,-0.069517,1.321803,-0.027986
0.70,5,conditional_logit,719,0.15,0.02463301,0.13228607,0.0938,0.4792,0.7789,0.7848,-0.090878,1.278134,-0.019369
1.00,1,conditional_logit,1027,0.25,0.02742083,0.14288978,0.2500,0.4896,0.6254,0.6390,-0.078819,1.319971,-0.032982
1.00,2,conditional_logit,1027,0.25,0.02742083,0.14288978,0.2500,0.4896,0.6254,0.6390,-0.078819,1.319971,-0.032982
1.00,3,conditional_logit,1027,0.25,0.02742083,0.14288978,0.2500,0.4896,0.6254,0.6390,-0.078819,1.319971,-0.032982
1.00,4,conditional_logit,1027,0.25,0.02742083,0.14288978,0.2500,0.4896,0.6254,0.6390,-0.078819,1.319971,-0.032982
1.00,5,conditional_logit,1027,0.25,0.02742083,0.14288978,0.2500,0.4896,0.6254,0.6390,-0.078819,1.319971,-0.032982
