share,metric,metric_mean,metric_sd
0.30,MSE,0.01114905,0.002829
0.30,MAE,0.09725072,0.014126
0.30,CHR_Wait,0.31248000,0.034877
0.30,CHR_SE,0.48748000,0.065345
0.30,Spearman_rho,0.66616000,0.039315
0.30,Pearson_r,0.64504000,0.042400
0.50,MSE,0.00976967,0.002337
0.50,MAE,0.09041013,0.012778
0.50,CHR_Wait,0.30000000,0.034501
0.50,CHR_SE,0.49586000,0.026833
0.50,Spearman_rho,0.68598000,0.039499
0.50,Pearson_r,0.66146000,0.041000
0.70,MSE,0.01008842,0.001990
0.70,MAE,0.09231035,0.010306
0.70,CHR_Wait,0.31460000,0.053290
0.70,CHR_SE,0.47084000,0.037481
0.70,Spearman_rho,0.67996000,0.052868
0.70,Pearson_r,0.66034000,0.049153
1.00,MSE,0.00161489,0.000000
1.00,MAE,0.03177080,0.000000
1.00,CHR_Wait,0.30210000,0.000000
1.00,CHR_SE,0.46880000,0.000000
1.00,Spearman_rho,0.69080000,0.000000
1.00,Pearson_r,0.66610000,0.000000
