share,share_pct,state,P_static_s,source
0.30,30,1,0.59990427,conditional_logit_mean_over_5_seeds
0.30,30,2,0.56139012,conditional_logit_mean_over_5_seeds
0.30,30,3,0.52211643,conditional_logit_mean_over_5_seeds
0.30,30,4,0.48256993,conditional_logit_mean_over_5_seeds
0.30,30,5,0.66258363,conditional_logit_mean_over_5_seeds
0.30,30,6,0.62636896,conditional_logit_mean_over_5_seeds
0.30,30,7,0.58866721,conditional_logit_mean_over_5_seeds
0.30,30,8,0.54988885,conditional_logit_mean_over_5_seeds
0.30,30,9,0.71994716,conditional_logit_mean_over_5_seeds
0.30,30,10,0.68701245,conditional_logit_mean_over_5_seeds
0.30,30,11,0.65205811,conditional_logit_mean_over_5_seeds
0.30,30,12,0.61537259,conditional_logit_mean_over_5_seeds
0.30,30,13,0.77084207,conditional_logit_mean_over_5_seeds
0.30,30,14,0.74177986,conditional_logit_mean_over_5_seeds
0.30,30,15,0.71039620,conditional_logit_mean_over_5_seeds
0.30,30,16,0.67684275,conditional_logit_mean_over_5_seeds
0.30,30,17,0.59328989,conditional_logit_mean_over_5_seeds
0.30,30,18,0.55460939,conditional_logit_mean_over_5_seeds
0.30,30,19,0.51525634,conditional_logit_mean_over_5_seeds
0.30,30,20,0.47572159,conditional_logit_mean_over_5_seeds
0.30,30,21,0.65643168,conditional_logit_mean_over_5_seeds
0.30,30,22,0.61992417,conditional_logit_mean_over_5_seeds
0.30,30,23,0.58199996,conditional_logit_mean_over_5_seeds
0.30,30,24,0.54308050,conditional_logit_mean_over_5_seeds
0.30,30,25,0.71442187,conditional_logit_mean_over_5_seeds
0.30,30,26,0.68110711,conditional_logit_mean_over_5_seeds
0.30,30,27,0.64581902,conditional_logit_mean_over_5_seeds
0.30,30,28,0.60886074,conditional_logit_mean_over_5_seeds
0.30,30,29,0.76603283,conditional_logit_mean_over_5_seeds
0.30,30,30,0.73654700,conditional_logit_mean_over_5_seeds
0.30,30,31,0.70476055,conditional_logit_mean_over_5_seeds
0.30,30,32,0.67084002,conditional_logit_mean_over_5_seeds
0.30,30,33,0.58660535,conditional_logit_mean_over_5_seeds
0.30,30,34,0.54779025,conditional_logit_mean_over_5_seeds
0.30,30,35,0.50839154,conditional_logit_mean_over_5_seeds
0.30,30,36,0.46890243,conditional_logit_mean_over_5_seeds
0.30,30,37,0.65016486,conditional_logit_mean_over_5_seeds
0.30,30,38,0.61338977,conditional_logit_mean_over_5_seeds
0.30,30,39,0.57527263,conditional_logit_mean_over_5_seeds
0.30,30,40,0.53624459,conditional_logit_mean_over_5_seeds
0.30,30,41,0.70875137,conditional_logit_mean_over_5_seeds
0.30,30,42,0.67507294,conditional_logit_mean_over_5_seeds
0.30,30,43,0.63947294,conditional_logit_mean_over_5_seeds
0.30,30,44,0.60226865,conditional_logit_mean_over_5_seeds
0.30,30,45,0.76106355,conditional_logit_mean_over_5_seeds
0.30,30,46,0.73116130,conditional_logit_mean_over_5_seeds
0.30,30,47,0.69898470,conditional_logit_mean_over_5_seeds
0.30,30,48,0.66471531,conditional_logit_mean_over_5_seeds
0.30,30,49,0.57986235,conditional_logit_mean_over_5_seeds
0.30,30,50,0.54094528,conditional_logit_mean_over_5_seeds
0.30,30,51,0.50153483,conditional_logit_mean_over_5_seeds
0.30,30,52,0.46212485,conditional_logit_mean_over_5_seeds
0.30,30,53,0.64379229,conditional_logit_mean_over_5_seeds
0.30,30,54,0.60677658,conditional_logit_mean_over_5_seeds
0.30,30,55,0.56849730,conditional_logit_mean_over_5_seeds
0.30,30,56,0.52939383,conditional_logit_mean_over_5_seeds
0.30,30,57,0.70294142,conditional_logit_mean_over_5_seeds
0.30,30,58,0.66891778,conditional_logit_mean_over_5_seeds
0.30,30,59,0.63302963,conditional_logit_mean_over_5_seeds
0.30,30,60,0.59560762,conditional_logit_mean_over_5_seeds
0.30,30,61,0.75593658,conditional_logit_mean_over_5_seeds
0.30,30,62,0.72562716,conditional_logit_mean_over_5_seeds
0.30,30,63,0.69307517,conditional_logit_mean_over_5_seeds
0.30,30,64,0.65847715,conditional_logit_mean_over_5_seeds
