row_id,respondent_id,y,wait,eff,se,cash,p_dce
2,1,0,0.0,0.0,0.0,0.0,0.18576865
3,1,0,3.0,0.7,1.0,200.0,0.33444754
5,1,0,0.0,0.0,0.0,0.0,0.18576865
6,1,0,3.0,0.7,3.0,200.0,0.34408355
7,1,0,1.0,0.95,1.0,800.0,0.63882242
8,1,1,0.0,0.0,0.0,0.0,0.18576865
9,1,1,0.0,0.95,3.0,800.0,0.66240185
10,1,0,3.0,0.7,3.0,200.0,0.34408355
11,1,0,0.0,0.0,0.0,0.0,0.18576865
12,1,0,1.0,0.5,1.0,50.0,0.27324280
13,1,1,6.0,0.95,1.0,200.0,0.34552419
14,1,0,0.0,0.0,0.0,0.0,0.18576865
15,1,1,6.0,0.95,2.0,800.0,0.57148108
16,1,0,1.0,0.5,2.0,50.0,0.27753189
17,1,0,0.0,0.0,0.0,0.0,0.18576865
74,5,0,0.0,0.0,0.0,0.0,0.18576865
75,5,0,3.0,0.7,1.0,200.0,0.33444754
77,5,0,0.0,0.0,0.0,0.0,0.18576865
78,5,0,3.0,0.7,3.0,200.0,0.34408355
79,5,0,1.0,0.95,1.0,800.0,0.63882242
80,5,1,0.0,0.0,0.0,0.0,0.18576865
81,5,1,0.0,0.95,3.0,800.0,0.66240185
82,5,0,3.0,0.7,3.0,200.0,0.34408355
83,5,0,0.0,0.0,0.0,0.0,0.18576865
84,5,0,1.0,0.5,1.0,50.0,0.27324280
85,5,1,6.0,0.95,1.0,200.0,0.34552419
86,5,0,0.0,0.0,0.0,0.0,0.18576865
87,5,1,6.0,0.95,2.0,800.0,0.57148108
88,5,0,1.0,0.5,2.0,50.0,0.27753189
89,5,0,0.0,0.0,0.0,0.0,0.18576865
145,9,0,3.0,0.95,2.0,50.0,0.34045694
146,9,0,0.0,0.0,0.0,0.0,0.18576865
147,9,0,3.0,0.7,3.0,50.0,0.29495424
149,9,1,0.0,0.0,0.0,0.0,0.18576865
150,9,0,1.0,0.7,3.0,50.0,0.32084294
151,9,1,1.0,0.95,2.0,200.0,0.42227938
152,9,0,0.0,0.0,0.0,0.0,0.18576865
154,9,0,6.0,0.95,2.0,200.0,0.35040084
155,9,0,0.0,0.0,0.0,0.0,0.18576865
157,9,0,3.0,0.95,1.0,800.0,0.61033366
158,9,1,0.0,0.0,0.0,0.0,0.18576865
160,9,0,1.0,0.5,1.0,800.0,0.53823425
161,9,0,0.0,0.0,0.0,0.0,0.18576865
775,44,0,3.0,0.95,2.0,50.0,0.34045694
776,44,0,0.0,0.0,0.0,0.0,0.18576865
777,44,0,3.0,0.7,3.0,50.0,0.29495424
779,44,1,0.0,0.0,0.0,0.0,0.18576865
780,44,0,1.0,0.7,3.0,50.0,0.32084294
781,44,1,1.0,0.95,2.0,200.0,0.42227938
782,44,0,0.0,0.0,0.0,0.0,0.18576865
784,44,0,6.0,0.95,2.0,200.0,0.35040084
785,44,0,0.0,0.0,0.0,0.0,0.18576865
787,44,0,3.0,0.95,1.0,800.0,0.61033366
788,44,1,0.0,0.0,0.0,0.0,0.18576865
790,44,0,1.0,0.5,1.0,800.0,0.53823425
791,44,0,0.0,0.0,0.0,0.0,0.18576865
828,47,0,1.0,0.5,2.0,800.0,0.54357179
830,47,0,0.0,0.0,0.0,0.0,0.18576865
831,47,1,3.0,0.5,3.0,800.0,0.51866203
833,47,0,0.0,0.0,0.0,0.0,0.18576865
834,47,0,1.0,0.95,3.0,200.0,0.42753168
835,47,1,1.0,0.7,1.0,50.0,0.31154864
836,47,0,0.0,0.0,0.0,0.0,0.18576865
837,47,1,3.0,0.95,3.0,800.0,0.62050764
838,47,0,0.0,0.95,2.0,50.0,0.38250106
839,47,0,0.0,0.0,0.0,0.0,0.18576865
841,47,1,3.0,0.7,2.0,200.0,0.33924890
842,47,0,0.0,0.0,0.0,0.0,0.18576865
843,47,1,6.0,0.95,1.0,800.0,0.56620945
845,47,0,0.0,0.0,0.0,0.0,0.18576865
1009,57,0,3.0,0.95,2.0,50.0,0.34045694
1010,57,0,0.0,0.0,0.0,0.0,0.18576865
1011,57,0,3.0,0.7,3.0,50.0,0.29495424
1013,57,1,0.0,0.0,0.0,0.0,0.18576865
1014,57,0,1.0,0.7,3.0,50.0,0.32084294
1015,57,1,1.0,0.95,2.0,200.0,0.42227938
1016,57,0,0.0,0.0,0.0,0.0,0.18576865
1018,57,0,6.0,0.95,2.0,200.0,0.35040084
1019,57,0,0.0,0.0,0.0,0.0,0.18576865
1021,57,0,3.0,0.95,1.0,800.0,0.61033366
1022,57,1,0.0,0.0,0.0,0.0,0.18576865
1024,57,0,1.0,0.5,1.0,800.0,0.53823425
1025,57,0,0.0,0.0,0.0,0.0,0.18576865
1027,58,0,3.0,0.95,2.0,50.0,0.34045694
1028,58,0,0.0,0.0,0.0,0.0,0.18576865
1029,58,0,3.0,0.7,3.0,50.0,0.29495424
1031,58,1,0.0,0.0,0.0,0.0,0.18576865
1032,58,0,1.0,0.7,3.0,50.0,0.32084294
1033,58,1,1.0,0.95,2.0,200.0,0.42227938
1034,58,0,0.0,0.0,0.0,0.0,0.18576865
1036,58,0,6.0,0.95,2.0,200.0,0.35040084
1037,58,0,0.0,0.0,0.0,0.0,0.18576865
1039,58,0,3.0,0.95,1.0,800.0,0.61033366
1040,58,1,0.0,0.0,0.0,0.0,0.18576865
1042,58,0,1.0,0.5,1.0,800.0,0.53823425
1043,58,0,0.0,0.0,0.0,0.0,0.18576865
1134,64,0,1.0,0.5,2.0,800.0,0.54357179
1136,64,0,0.0,0.0,0.0,0.0,0.18576865
1137,64,1,3.0,0.5,3.0,800.0,0.51866203
1139,64,0,0.0,0.0,0.0,0.0,0.18576865
1140,64,0,1.0,0.95,3.0,200.0,0.42753168
1141,64,1,1.0,0.7,1.0,50.0,0.31154864
1142,64,0,0.0,0.0,0.0,0.0,0.18576865
1143,64,1,3.0,0.95,3.0,800.0,0.62050764
1144,64,0,0.0,0.95,2.0,50.0,0.38250106
1145,64,0,0.0,0.0,0.0,0.0,0.18576865
1147,64,1,3.0,0.7,2.0,200.0,0.33924890
1148,64,0,0.0,0.0,0.0,0.0,0.18576865
1149,64,1,6.0,0.95,1.0,800.0,0.56620945
1151,64,0,0.0,0.0,0.0,0.0,0.18576865
1244,70,0,0.0,0.0,0.0,0.0,0.18576865
1245,70,0,3.0,0.7,1.0,200.0,0.33444754
1247,70,0,0.0,0.0,0.0,0.0,0.18576865
1248,70,0,3.0,0.7,3.0,200.0,0.34408355
1249,70,0,1.0,0.95,1.0,800.0,0.63882242
1250,70,1,0.0,0.0,0.0,0.0,0.18576865
1251,70,1,0.0,0.95,3.0,800.0,0.66240185
1252,70,0,3.0,0.7,3.0,200.0,0.34408355
1253,70,0,0.0,0.0,0.0,0.0,0.18576865
1254,70,0,1.0,0.5,1.0,50.0,0.27324280
1255,70,1,6.0,0.95,1.0,200.0,0.34552419
1256,70,0,0.0,0.0,0.0,0.0,0.18576865
1257,70,1,6.0,0.95,2.0,800.0,0.57148108
1258,70,0,1.0,0.5,2.0,50.0,0.27753189
1259,70,0,0.0,0.0,0.0,0.0,0.18576865
1279,72,0,3.0,0.95,2.0,50.0,0.34045694
1280,72,0,0.0,0.0,0.0,0.0,0.18576865
1281,72,0,3.0,0.7,3.0,50.0,0.29495424
1283,72,1,0.0,0.0,0.0,0.0,0.18576865
1284,72,0,1.0,0.7,3.0,50.0,0.32084294
1285,72,1,1.0,0.95,2.0,200.0,0.42227938
1286,72,0,0.0,0.0,0.0,0.0,0.18576865
1288,72,0,6.0,0.95,2.0,200.0,0.35040084
1289,72,0,0.0,0.0,0.0,0.0,0.18576865
1291,72,0,3.0,0.95,1.0,800.0,0.61033366
1292,72,1,0.0,0.0,0.0,0.0,0.18576865
1294,72,0,1.0,0.5,1.0,800.0,0.53823425
1295,72,0,0.0,0.0,0.0,0.0,0.18576865
1586,89,0,0.0,0.0,0.0,0.0,0.18576865
1587,89,0,3.0,0.7,1.0,200.0,0.33444754
1589,89,0,0.0,0.0,0.0,0.0,0.18576865
1590,89,0,3.0,0.7,3.0,200.0,0.34408355
1591,89,0,1.0,0.95,1.0,800.0,0.63882242
1592,89,1,0.0,0.0,0.0,0.0,0.18576865
1593,89,1,0.0,0.95,3.0,800.0,0.66240185
1594,89,0,3.0,0.7,3.0,200.0,0.34408355
1595,89,0,0.0,0.0,0.0,0.0,0.18576865
1596,89,0,1.0,0.5,1.0,50.0,0.27324280
1597,89,1,6.0,0.95,1.0,200.0,0.34552419
1598,89,0,0.0,0.0,0.0,0.0,0.18576865
1599,89,1,6.0,0.95,2.0,800.0,0.57148108
1600,89,0,1.0,0.5,2.0,50.0,0.27753189
1601,89,0,0.0,0.0,0.0,0.0,0.18576865
1658,93,0,0.0,0.0,0.0,0.0,0.18576865
1659,93,0,3.0,0.7,1.0,200.0,0.33444754
1661,93,0,0.0,0.0,0.0,0.0,0.18576865
1662,93,0,3.0,0.7,3.0,200.0,0.34408355
1663,93,0,1.0,0.95,1.0,800.0,0.63882242
1664,93,1,0.0,0.0,0.0,0.0,0.18576865
1665,93,1,0.0,0.95,3.0,800.0,0.66240185
1666,93,0,3.0,0.7,3.0,200.0,0.34408355
1667,93,0,0.0,0.0,0.0,0.0,0.18576865
1668,93,0,1.0,0.5,1.0,50.0,0.27324280
1669,93,1,6.0,0.95,1.0,200.0,0.34552419
1670,93,0,0.0,0.0,0.0,0.0,0.18576865
1671,93,1,6.0,0.95,2.0,800.0,0.57148108
1672,93,0,1.0,0.5,2.0,50.0,0.27753189
1673,93,0,0.0,0.0,0.0,0.0,0.18576865
1711,96,0,3.0,0.95,2.0,50.0,0.34045694
1712,96,0,0.0,0.0,0.0,0.0,0.18576865
1713,96,0,3.0,0.7,3.0,50.0,0.29495424
1715,96,1,0.0,0.0,0.0,0.0,0.18576865
1716,96,0,1.0,0.7,3.0,50.0,0.32084294
1717,96,1,1.0,0.95,2.0,200.0,0.42227938
1718,96,0,0.0,0.0,0.0,0.0,0.18576865
1720,96,0,6.0,0.95,2.0,200.0,0.35040084
1721,96,0,0.0,0.0,0.0,0.0,0.18576865
1723,96,0,3.0,0.95,1.0,800.0,0.61033366
1724,96,1,0.0,0.0,0.0,0.0,0.18576865
1726,96,0,1.0,0.5,1.0,800.0,0.53823425
1727,96,0,0.0,0.0,0.0,0.0,0.18576865
1729,97,0,3.0,0.95,2.0,50.0,0.34045694
1730,97,0,0.0,0.0,0.0,0.0,0.18576865
1731,97,0,3.0,0.7,3.0,50.0,0.29495424
1733,97,1,0.0,0.0,0.0,0.0,0.18576865
1734,97,0,1.0,0.7,3.0,50.0,0.32084294
1735,97,1,1.0,0.95,2.0,200.0,0.42227938
1736,97,0,0.0,0.0,0.0,0.0,0.18576865
1738,97,0,6.0,0.95,2.0,200.0,0.35040084
1739,97,0,0.0,0.0,0.0,0.0,0.18576865
1741,97,0,3.0,0.95,1.0,800.0,0.61033366
1742,97,1,0.0,0.0,0.0,0.0,0.18576865
1744,97,0,1.0,0.5,1.0,800.0,0.53823425
1745,97,0,0.0,0.0,0.0,0.0,0.18576865
1783,100,0,3.0,0.95,2.0,50.0,0.34045694
1784,100,0,0.0,0.0,0.0,0.0,0.18576865
1785,100,0,3.0,0.7,3.0,50.0,0.29495424
1787,100,1,0.0,0.0,0.0,0.0,0.18576865
1788,100,0,1.0,0.7,3.0,50.0,0.32084294
1789,100,1,1.0,0.95,2.0,200.0,0.42227938
1790,100,0,0.0,0.0,0.0,0.0,0.18576865
1792,100,0,6.0,0.95,2.0,200.0,0.35040084
1793,100,0,0.0,0.0,0.0,0.0,0.18576865
1795,100,0,3.0,0.95,1.0,800.0,0.61033366
1796,100,1,0.0,0.0,0.0,0.0,0.18576865
1798,100,0,1.0,0.5,1.0,800.0,0.53823425
1799,100,0,0.0,0.0,0.0,0.0,0.18576865
1836,103,0,1.0,0.5,2.0,800.0,0.54357179
1838,103,0,0.0,0.0,0.0,0.0,0.18576865
1839,103,1,3.0,0.5,3.0,800.0,0.51866203
1841,103,0,0.0,0.0,0.0,0.0,0.18576865
1842,103,0,1.0,0.95,3.0,200.0,0.42753168
1843,103,1,1.0,0.7,1.0,50.0,0.31154864
1844,103,0,0.0,0.0,0.0,0.0,0.18576865
1845,103,1,3.0,0.95,3.0,800.0,0.62050764
1846,103,0,0.0,0.95,2.0,50.0,0.38250106
1847,103,0,0.0,0.0,0.0,0.0,0.18576865
1849,103,1,3.0,0.7,2.0,200.0,0.33924890
1850,103,0,0.0,0.0,0.0,0.0,0.18576865
1851,103,1,6.0,0.95,1.0,800.0,0.56620945
1853,103,0,0.0,0.0,0.0,0.0,0.18576865
1854,104,0,1.0,0.5,2.0,800.0,0.54357179
1856,104,0,0.0,0.0,0.0,0.0,0.18576865
1857,104,1,3.0,0.5,3.0,800.0,0.51866203
1859,104,0,0.0,0.0,0.0,0.0,0.18576865
1860,104,0,1.0,0.95,3.0,200.0,0.42753168
1861,104,1,1.0,0.7,1.0,50.0,0.31154864
1862,104,0,0.0,0.0,0.0,0.0,0.18576865
1863,104,1,3.0,0.95,3.0,800.0,0.62050764
1864,104,0,0.0,0.95,2.0,50.0,0.38250106
1865,104,0,0.0,0.0,0.0,0.0,0.18576865
1867,104,1,3.0,0.7,2.0,200.0,0.33924890
1868,104,0,0.0,0.0,0.0,0.0,0.18576865
1869,104,1,6.0,0.95,1.0,800.0,0.56620945
1871,104,0,0.0,0.0,0.0,0.0,0.18576865
2125,119,0,3.0,0.95,2.0,50.0,0.34045694
2126,119,0,0.0,0.0,0.0,0.0,0.18576865
2127,119,0,3.0,0.7,3.0,50.0,0.29495424
2129,119,1,0.0,0.0,0.0,0.0,0.18576865
2130,119,0,1.0,0.7,3.0,50.0,0.32084294
2131,119,1,1.0,0.95,2.0,200.0,0.42227938
2132,119,0,0.0,0.0,0.0,0.0,0.18576865
2134,119,0,6.0,0.95,2.0,200.0,0.35040084
2135,119,0,0.0,0.0,0.0,0.0,0.18576865
2137,119,0,3.0,0.95,1.0,800.0,0.61033366
2138,119,1,0.0,0.0,0.0,0.0,0.18576865
2140,119,0,1.0,0.5,1.0,800.0,0.53823425
2141,119,0,0.0,0.0,0.0,0.0,0.18576865
