lambda,main_spec,MSE,MAE,MVR_Wait,MVR_SE,Spearman_rho,note
0.00,,0.00000000,0.00000000,0.0000,0.0000,1.0000,Pure-DCE
0.10,,0.00048197,0.01877857,0.0000,0.0000,0.9959,
0.20,,0.00192787,0.03755715,0.0104,0.1667,0.9746,
0.25,yes,0.00301230,0.04694643,0.0417,0.2708,0.9520,
0.30,,0.00433771,0.05633572,0.0625,0.3333,0.9329,
0.40,,0.00771148,0.07511429,0.1354,0.4583,0.8541,
0.50,,0.01204919,0.09389286,0.2396,0.4792,0.7480,
0.60,,0.01735084,0.11267144,0.3333,0.5104,0.5945,
0.70,,0.02361642,0.13145001,0.4375,0.5312,0.4172,
0.80,,0.03084593,0.15022858,0.4896,0.5312,0.2517,
0.90,,0.03903938,0.16900716,0.5417,0.5417,0.0989,
1.00,,0.04819677,0.18778573,0.6250,0.5521,-0.0238,Unconstrained LLM
