lambda,main_spec,MSE,MAE,MVR_Wait,MVR_SE,Spearman_rho,note
0.00,,0.0,0.0,0.0,0.0,0.9999999999999998,Pure-DCE
0.10,,0.00025783647940091957,0.012693149204403512,0.07291666666666667,0.2604166666666667,0.9353937728937729,
0.20,,0.0010313459176036779,0.02538629840880701,0.23958333333333334,0.4375,0.7708333333333333,
0.25,yes,0.0016114779962557485,0.03173287301100878,0.3020833333333333,0.46875,0.6885531135531134,
0.30,,0.0023205283146082788,0.03807944761321055,0.3854166666666667,0.4895833333333333,0.5953754578754578,
0.40,,0.004125383670414717,0.05077259681761405,0.46875,0.5208333333333334,0.43287545787545784,
0.50,,0.006445911985022994,0.06346574602201756,0.5104166666666666,0.53125,0.3254578754578754,
0.60,,0.00928211325843311,0.07615889522642108,0.5208333333333334,0.53125,0.2472069597069597,
0.70,,0.012633987490645067,0.08885204443082459,0.5520833333333334,0.5416666666666666,0.1752289377289377,
0.80,,0.016501534681658866,0.1015451936352281,0.6041666666666666,0.5416666666666666,0.12083333333333332,
0.90,,0.0208847548314745,0.11423834283963162,0.6041666666666666,0.5520833333333334,0.0934065934065934,
1.00,,0.025783647940091976,0.12693149204403514,0.625,0.5520833333333334,0.06076494244093296,Unconstrained LLM
