lambda,main_spec,N,log_loss,brier,AUC,calibration_intercept,calibration_slope,note
0.00,,809,0.688177,0.246484,0.3141,0.9000,1.4356,Pure-DCE
0.10,,809,0.692926,0.249162,0.3078,0.9010,1.5393,
0.20,,809,0.699506,0.252610,0.3339,0.8593,1.5671,
0.25,yes,809,0.703443,0.254622,0.3506,0.8100,1.5216,
0.30,,809,0.707800,0.256826,0.3646,0.7325,1.4102,
0.40,,809,0.717751,0.261811,0.4423,0.4630,0.8914,
0.50,,809,0.729354,0.267566,0.5041,0.0362,-0.1000,
0.60,,809,0.742643,0.274089,0.5626,-0.4150,-1.2978,
0.70,,809,0.757696,0.281382,0.6915,-0.6814,-2.1428,
0.80,,809,0.774634,0.289444,0.7037,-0.7304,-2.4453,
0.90,,809,0.793632,0.298275,0.7320,-0.6621,-2.4048,
1.00,,809,0.814933,0.307875,0.7658,-0.5540,-2.2180,Unconstrained LLM
