lambda,N,log_loss,brier,AUC,cal_int,cal_slope,note
0.0,813,0.6789485134515196,0.24240769613477017,0.712710033022533,0.855062138347189,1.4505933212804916,Pure-DCE
0.1,813,0.6853467304790942,0.24574164063982465,0.708327263014763,0.8750011262897517,1.5896915409536307,
0.15,813,0.6892701229021355,0.2477258287640241,0.6978377525252526,0.8752892113944725,1.643115248986823,
0.2,813,0.6936510336417171,0.24992149413600495,0.701067162004662,0.8627682544044305,1.6709079034555592,
0.25,813,0.6984772974855901,0.25232863675576733,0.6684816919191919,0.8326269585024386,1.65818753340246,Main
0.3,813,0.7037411609695575,0.25494725662331114,0.6491355866355867,0.7741301428688001,1.5748228568205267,
0.4,813,0.7155694858016941,0.2608189281017431,0.5428200271950272,0.5133827149437309,1.0208391252517908,
0.5,813,0.7291448041532741,0.2675365085713009,0.4737155205905206,-0.003913160064955312,-0.3097037723723649,
0.6,813,0.7445261099749931,0.27509999803198465,0.385956925019425,-0.5983038518343933,-2.0290072469104743,
0.7,813,0.7618233125421128,0.28350939648379414,0.2740263209013209,-0.8814971989901281,-3.013023573715105,
0.8,813,0.7812043720011506,0.29276470392672954,0.28682862276612275,-0.8601241227024089,-3.121276641285336,
1.0,813,0.8272822436899128,0.31381304578597785,0.21363879176379175,-0.577705817657012,-2.4996912444947252,Unconstrained LLM
