scenario_id,wait_time,efficacy,side_effects_numeric,side_effects_text,extra_policy_description,expected_wait_order_group,P_static,P_static_6
A1,2.0,0.7,0.0,low,neutral standard appointment,group_A,0.619327123916607,0.4892371378
A2,6.0,0.7,0.0,low,neutral standard appointment,group_A,0.3582392173871906,0.4304454160
B1,2.0,0.7,0.0,low,online pre-registration required,group_B,0.619327123916607,0.4892371378
B2,6.0,0.7,0.0,low,online pre-registration required,group_B,0.3582392173871906,0.4304454160
C1,2.0,0.7,0.0,low,walk-in access available,group_C,0.619327123916607,0.4892371378
C2,6.0,0.7,0.0,low,walk-in access available,group_C,0.3582392173871906,0.4304454160
D1,2.0,0.7,0.0,low,appointment site far from home,group_D,0.619327123916607,0.4892371378
D2,6.0,0.7,0.0,low,appointment site far from home,group_D,0.3582392173871906,0.4304454160
E1,2.0,0.7,0.0,low,appointment reminder and flexible scheduling,group_E,0.619327123916607,0.4892371378
E2,6.0,0.7,0.0,low,appointment reminder and flexible scheduling,group_E,0.3582392173871906,0.4304454160
F1,2.0,0.7,0.0,low,uncertain queue length and administrative paperwork,group_F,0.619327123916607,0.4892371378
F2,6.0,0.7,0.0,low,uncertain queue length and administrative paperwork,group_F,0.3582392173871906,0.4304454160
