state,wait,eff,se,P_static,p_LLM_mean,pi_BDT_lam0.25,pi_BDT_lam0.50,pi_BDT_lam0.75,pi_BDT_mseopt,lambda_star
1,0,0.3,0.0,0.5836504530986286,0.47000000,0.55523784,0.52682523,0.49841261,0.55523784,0.25
2,2,0.3,0.0,0.5546036365199052,0.84500000,0.62720273,0.69980182,0.77240091,0.62720273,0.25
3,4,0.3,0.0,0.525178958616469,0.86000000,0.60888422,0.69258948,0.77629474,0.60888422,0.25
4,6,0.3,0.0,0.4955783902657652,0.76500000,0.56293379,0.63028920,0.69764460,0.56293379,0.25
5,0,0.5,0.0,0.6035833889007828,0.86500000,0.66893754,0.73429169,0.79964585,0.66893754,0.25
6,2,0.5,0.0,0.5749143756243998,0.82500000,0.63743578,0.69995719,0.76247859,0.63743578,0.25
7,4,0.5,0.0,0.545732451068761,0.79500000,0.60804934,0.67036623,0.73268311,0.60804934,0.25
8,6,0.5,0.0,0.5162329180600642,0.79000000,0.58467469,0.65311646,0.72155823,0.58467469,0.25
9,0,0.7,0.0,0.6231781491493127,0.98500000,0.71363361,0.80408907,0.89454454,0.71363361,0.25
10,2,0.7,0.0,0.5949753146569325,0.93000000,0.67873149,0.76248766,0.84624383,0.67873149,0.25
11,4,0.7,0.0,0.5661312566878002,0.89500000,0.64834844,0.73056563,0.81278281,0.64834844,0.25
12,6,0.7,0.0,0.536832134974656,0.97500000,0.64637410,0.75591607,0.86545803,0.64637410,0.25
13,0,0.9,0.0,0.642378217596288,0.99500000,0.73053366,0.81868911,0.90684455,0.73053366,0.25
14,2,0.9,0.0,0.6147239701536465,0.99500000,0.70979298,0.80486199,0.89993099,0.70979298,0.25
15,4,0.9,0.0,0.5863084333965564,0.97000000,0.68223133,0.77815422,0.87407711,0.68223133,0.25
16,6,0.9,0.0,0.5573064010956416,0.98500000,0.66422980,0.77115320,0.87807660,0.66422980,0.25
17,0,0.3,1.0,0.5747710603054739,0.58500000,0.57732830,0.57988553,0.58244277,0.57732830,0.25
18,2,0.3,1.0,0.5455870736046975,0.71000000,0.58669031,0.62779354,0.66889677,0.58669031,0.25
19,4,0.3,1.0,0.5160864711911088,0.75000000,0.57456485,0.63304324,0.69152162,0.57456485,0.25
20,6,0.3,1.0,0.48647332643335556,0.72000000,0.54485499,0.60323666,0.66161833,0.54485499,0.25
21,0,0.5,1.0,0.59483399630048,0.71000000,0.62362550,0.65241700,0.68120850,0.62362550,0.25
22,2,0.5,1.0,0.5659872156345069,0.67500000,0.59324041,0.62049361,0.64774680,0.59324041,0.25
23,4,0.5,1.0,0.5366863273434841,0.71700000,0.58176475,0.62684316,0.67192158,0.58176475,0.25
24,6,0.5,1.0,0.5071298916735953,0.69000000,0.55284742,0.59856495,0.64428247,0.55284742,0.25
25,0,0.7,1.0,0.6145850787698105,0.67000000,0.62843881,0.64229254,0.65614627,0.62843881,0.25
26,2,0.7,1.0,0.5861661943807597,0.57000000,0.58212465,0.57808310,0.57404155,0.58212465,0.25
27,4,0.7,1.0,0.5571617219893652,0.61000000,0.57037129,0.58358086,0.59679043,0.57037129,0.25
28,6,0.7,1.0,0.5277621423797006,0.52500000,0.52707161,0.52638107,0.52569054,0.52707161,0.25
29,0,0.9,1.0,0.6339658143627575,0.85000000,0.68797436,0.74198291,0.79599145,0.68797436,0.25
30,2,0.9,1.0,0.6060599814653564,0.80000000,0.65454499,0.70302999,0.75151500,0.65454499,0.25
31,4,0.9,1.0,0.5774446867192027,0.71500000,0.61183352,0.64622234,0.68061117,0.61183352,0.25
32,6,0.9,1.0,0.54829999015537,0.70500000,0.58747499,0.62665000,0.66582500,0.58747499,0.25
33,0,0.3,2.0,0.5658431634334734,0.62000000,0.57938237,0.59292158,0.60646079,0.57938237,0.25
34,2,0.3,2.0,0.5365405134386985,0.50000000,0.52740539,0.51827026,0.50913513,0.52740539,0.25
35,4,0.3,2.0,0.5069833208748399,0.47000000,0.49773749,0.48849166,0.47924583,0.49773749,0.25
36,6,0.3,2.0,0.47737723145479694,0.70000000,0.53303292,0.58868862,0.64434431,0.53303292,0.25
37,0,0.5,2.0,0.5860239409901721,0.67000000,0.60701796,0.62801197,0.64900599,0.60701796,0.25
38,2,0.5,2.0,0.5570170331835825,0.64000000,0.57776277,0.59850852,0.61925426,0.57776277,0.25
39,4,0.5,2.0,0.5276159919645135,0.68000000,0.56571199,0.60380800,0.64190400,0.56571199,0.25
40,6,0.5,2.0,0.49802213531650374,0.60500000,0.52476660,0.55151107,0.57825553,0.52476660,0.25
41,0,0.7,2.0,0.6059199690107073,0.66000000,0.61943998,0.63295998,0.64647999,0.61943998,0.25
42,2,0.7,2.0,0.5773015972643601,0.52000000,0.56297620,0.54865080,0.53432540,0.56297620,0.25
43,4,0.7,2.0,0.5481547540521313,0.59500000,0.55986607,0.57157738,0.58328869,0.55986607,0.25
44,6,0.7,2.0,0.5186737854056919,0.67000000,0.55650534,0.59433689,0.63216845,0.55650534,0.25
45,0,0.9,2.0,0.6254708994144367,0.78500000,0.66535317,0.70523545,0.74511772,0.66535317,0.25
46,2,0.9,2.0,0.5973287837618152,0.65000000,0.61049659,0.62366439,0.63683220,0.61049659,0.25
47,4,0.9,2.0,0.5685307852036752,0.65000000,0.58889809,0.60926539,0.62963270,0.58889809,0.25
48,6,0.9,2.0,0.5392618294499048,0.65000000,0.56694637,0.59463091,0.62231546,0.56694637,0.25
49,0,0.3,3.0,0.5568723347021974,0.67000000,0.58515425,0.61343617,0.64171808,0.58515425,0.25
50,2,0.3,3.0,0.5274698368157249,0.59500000,0.54435238,0.56123492,0.57811746,0.54435238,0.25
51,4,0.3,3.0,0.497875537784698,0.62000000,0.52840665,0.55893777,0.58946888,0.52840665,0.25
52,6,0.3,3.0,0.4682961167540611,0.68000000,0.52122209,0.57414806,0.62707403,0.52122209,0.25
53,0,0.5,3.0,0.5771584948365384,0.64000000,0.59286887,0.60857925,0.62428962,0.59286887,0.25
54,2,0.5,3.0,0.5480095097463223,0.61000000,0.56350713,0.57900475,0.59450238,0.56350713,0.25
55,4,0.5,3.0,0.5185273882904908,0.58000000,0.53389554,0.54926369,0.56463185,0.53389554,0.25
56,6,0.5,3.0,0.48891569132122226,0.60000000,0.51668677,0.54445785,0.57222892,0.51668677,0.25
57,0,0.7,3.0,0.5971877306194027,0.64000000,0.60789080,0.61859387,0.62929693,0.60789080,0.25
58,2,0.7,3.0,0.5683869334360456,0.68000000,0.59629020,0.62419347,0.65209673,0.59629020,0.25
59,4,0.7,3.0,0.5391161300300922,0.53000000,0.53683710,0.53455807,0.53227903,0.53683710,0.25
60,6,0.7,3.0,0.5095730549998058,0.60000000,0.53217979,0.55478653,0.57739326,0.53217979,0.25
61,0,0.9,3.0,0.6168979711832685,0.78500000,0.65892348,0.70094899,0.74297449,0.65892348,0.25
62,2,0.9,3.0,0.5885354513049956,0.61000000,0.59390159,0.59926773,0.60463386,0.59390159,0.25
63,4,0.9,3.0,0.5595722650810825,0.74000000,0.60467920,0.64978613,0.69489307,0.60467920,0.25
64,6,0.9,3.0,0.5301977777287565,0.53000000,0.53014833,0.53009889,0.53004944,0.53014833,0.25
