state,wait,eff,se,P_static,p_LLM_mean,pi_BDT_lam0.25,pi_BDT_lam0.50,pi_BDT_lam0.75,pi_BDT_mseopt,lambda_star
1,0,0.3,0.0,0.5836504530986286,0.00000000,0.43773784,0.29182523,0.14591261,0.43773784,0.25
2,2,0.3,0.0,0.5546036365199052,0.00000000,0.41595273,0.27730182,0.13865091,0.41595273,0.25
3,4,0.3,0.0,0.525178958616469,0.00000000,0.39388422,0.26258948,0.13129474,0.39388422,0.25
4,6,0.3,0.0,0.4955783902657652,0.00000000,0.37168379,0.24778920,0.12389460,0.37168379,0.25
5,0,0.5,0.0,0.6035833889007828,0.50000000,0.57768754,0.55179169,0.52589585,0.57768754,0.25
6,2,0.5,0.0,0.5749143756243998,0.00000000,0.43118578,0.28745719,0.14372859,0.43118578,0.25
7,4,0.5,0.0,0.545732451068761,0.00000000,0.40929934,0.27286623,0.13643311,0.40929934,0.25
8,6,0.5,0.0,0.5162329180600642,0.00000000,0.38717469,0.25811646,0.12905823,0.38717469,0.25
9,0,0.7,0.0,0.6231781491493127,0.70000000,0.64238361,0.66158907,0.68079454,0.64238361,0.25
10,2,0.7,0.0,0.5949753146569325,0.70000000,0.62123149,0.64748766,0.67374383,0.62123149,0.25
11,4,0.7,0.0,0.5661312566878002,0.70000000,0.59959844,0.63306563,0.66653281,0.59959844,0.25
12,6,0.7,0.0,0.536832134974656,0.70000000,0.57762410,0.61841607,0.65920803,0.57762410,0.25
13,0,0.9,0.0,0.642378217596288,0.90000000,0.70678366,0.77118911,0.83559455,0.70678366,0.25
14,2,0.9,0.0,0.6147239701536465,0.90000000,0.68604298,0.75736199,0.82868099,0.68604298,0.25
15,4,0.9,0.0,0.5863084333965564,0.90000000,0.66473133,0.74315422,0.82157711,0.66473133,0.25
16,6,0.9,0.0,0.5573064010956416,0.90000000,0.64297980,0.72865320,0.81432660,0.64297980,0.25
17,0,0.3,1.0,0.5747710603054739,0.00000000,0.43107830,0.28738553,0.14369277,0.43107830,0.25
18,2,0.3,1.0,0.5455870736046975,0.30000000,0.48419031,0.42279354,0.36139677,0.48419031,0.25
19,4,0.3,1.0,0.5160864711911088,0.30000000,0.46206485,0.40804324,0.35402162,0.46206485,0.25
20,6,0.3,1.0,0.48647332643335556,0.30000000,0.43985499,0.39323666,0.34661833,0.43985499,0.25
21,0,0.5,1.0,0.59483399630048,0.00000000,0.44612550,0.29741700,0.14870850,0.44612550,0.25
22,2,0.5,1.0,0.5659872156345069,0.30000000,0.49949041,0.43299361,0.36649680,0.49949041,0.25
23,4,0.5,1.0,0.5366863273434841,0.30000000,0.47751475,0.41834316,0.35917158,0.47751475,0.25
24,6,0.5,1.0,0.5071298916735953,0.30000000,0.45534742,0.40356495,0.35178247,0.45534742,0.25
25,0,0.7,1.0,0.6145850787698105,0.70000000,0.63593881,0.65729254,0.67864627,0.63593881,0.25
26,2,0.7,1.0,0.5861661943807597,0.30000000,0.51462465,0.44308310,0.37154155,0.51462465,0.25
27,4,0.7,1.0,0.5571617219893652,0.30000000,0.49287129,0.42858086,0.36429043,0.49287129,0.25
28,6,0.7,1.0,0.5277621423797006,0.30000000,0.47082161,0.41388107,0.35694054,0.47082161,0.25
29,0,0.9,1.0,0.6339658143627575,0.90000000,0.70047436,0.76698291,0.83349145,0.70047436,0.25
30,2,0.9,1.0,0.6060599814653564,0.85000000,0.66704499,0.72802999,0.78901500,0.66704499,0.25
31,4,0.9,1.0,0.5774446867192027,0.75000000,0.62058352,0.66372234,0.70686117,0.62058352,0.25
32,6,0.9,1.0,0.54829999015537,0.30000000,0.48622499,0.42415000,0.36207500,0.48622499,0.25
33,0,0.3,2.0,0.5658431634334734,0.20000000,0.47438237,0.38292158,0.29146079,0.47438237,0.25
34,2,0.3,2.0,0.5365405134386985,0.30000000,0.47740539,0.41827026,0.35913513,0.47740539,0.25
35,4,0.3,2.0,0.5069833208748399,0.30000000,0.45523749,0.40349166,0.35174583,0.45523749,0.25
36,6,0.3,2.0,0.47737723145479694,0.30000000,0.43303292,0.38868862,0.34434431,0.43303292,0.25
37,0,0.5,2.0,0.5860239409901721,0.40000000,0.53951796,0.49301197,0.44650599,0.53951796,0.25
38,2,0.5,2.0,0.5570170331835825,0.30000000,0.49276277,0.42850852,0.36425426,0.49276277,0.25
39,4,0.5,2.0,0.5276159919645135,0.30000000,0.47071199,0.41380800,0.35690400,0.47071199,0.25
40,6,0.5,2.0,0.49802213531650374,0.30000000,0.44851660,0.39901107,0.34950553,0.44851660,0.25
41,0,0.7,2.0,0.6059199690107073,0.70000000,0.62943998,0.65295998,0.67647999,0.62943998,0.25
42,2,0.7,2.0,0.5773015972643601,0.30000000,0.50797620,0.43865080,0.36932540,0.50797620,0.25
43,4,0.7,2.0,0.5481547540521313,0.30000000,0.48611607,0.42407738,0.36203869,0.48611607,0.25
44,6,0.7,2.0,0.5186737854056919,0.30000000,0.46400534,0.40933689,0.35466845,0.46400534,0.25
45,0,0.9,2.0,0.6254708994144367,0.90000000,0.69410317,0.76273545,0.83136772,0.69410317,0.25
46,2,0.9,2.0,0.5973287837618152,0.85000000,0.66049659,0.72366439,0.78683220,0.66049659,0.25
47,4,0.9,2.0,0.5685307852036752,0.85000000,0.63889809,0.70926539,0.77963270,0.63889809,0.25
48,6,0.9,2.0,0.5392618294499048,0.85000000,0.61694637,0.69463091,0.77231546,0.61694637,0.25
49,0,0.3,3.0,0.5568723347021974,0.30000000,0.49265425,0.42843617,0.36421808,0.49265425,0.25
50,2,0.3,3.0,0.5274698368157249,0.30000000,0.47060238,0.41373492,0.35686746,0.47060238,0.25
51,4,0.3,3.0,0.497875537784698,0.30000000,0.44840665,0.39893777,0.34946888,0.44840665,0.25
52,6,0.3,3.0,0.4682961167540611,0.30000000,0.42622209,0.38414806,0.34207403,0.42622209,0.25
53,0,0.5,3.0,0.5771584948365384,0.30000000,0.50786887,0.43857925,0.36928962,0.50786887,0.25
54,2,0.5,3.0,0.5480095097463223,0.30000000,0.48600713,0.42400475,0.36200238,0.48600713,0.25
55,4,0.5,3.0,0.5185273882904908,0.30000000,0.46389554,0.40926369,0.35463185,0.46389554,0.25
56,6,0.5,3.0,0.48891569132122226,0.30000000,0.44168677,0.39445785,0.34722892,0.44168677,0.25
57,0,0.7,3.0,0.5971877306194027,0.70000000,0.62289080,0.64859387,0.67429693,0.62289080,0.25
58,2,0.7,3.0,0.5683869334360456,0.70000000,0.60129020,0.63419347,0.66709673,0.60129020,0.25
59,4,0.7,3.0,0.5391161300300922,0.30000000,0.47933710,0.41955807,0.35977903,0.47933710,0.25
