state,wait,eff,se,P_static,p_LLM_mean,pi_BDT_lam0.25,pi_BDT_lam0.50,pi_BDT_lam0.75,pi_BDT_mseopt,lambda_star
1,0,0.3,0.0,0.5836504530986286,0.22000000,0.49273784,0.40182523,0.31091261,0.49273784,0.25
2,2,0.3,0.0,0.5546036365199052,0.31000000,0.49345273,0.43230182,0.37115091,0.49345273,0.25
3,4,0.3,0.0,0.525178958616469,0.53000000,0.52638422,0.52758948,0.52879474,0.52638422,0.25
4,6,0.3,0.0,0.4955783902657652,0.47000000,0.48918379,0.48278920,0.47639460,0.48918379,0.25
5,0,0.5,0.0,0.6035833889007828,0.52500000,0.58393754,0.56429169,0.54464585,0.58393754,0.25
6,2,0.5,0.0,0.5749143756243998,0.43000000,0.53868578,0.50245719,0.46622859,0.53868578,0.25
7,4,0.5,0.0,0.545732451068761,0.28500000,0.48054934,0.41536623,0.35018311,0.48054934,0.25
8,6,0.5,0.0,0.5162329180600642,0.74000000,0.57217469,0.62811646,0.68405823,0.57217469,0.25
9,0,0.7,0.0,0.6231781491493127,0.46000000,0.58238361,0.54158907,0.50079454,0.58238361,0.25
10,2,0.7,0.0,0.5949753146569325,0.48500000,0.56748149,0.53998766,0.51249383,0.56748149,0.25
11,4,0.7,0.0,0.5661312566878002,0.72900000,0.60684844,0.64756563,0.68828281,0.60684844,0.25
12,6,0.7,0.0,0.536832134974656,0.49000000,0.52512410,0.51341607,0.50170803,0.52512410,0.25
13,0,0.9,0.0,0.642378217596288,0.38000000,0.57678366,0.51118911,0.44559455,0.57678366,0.25
14,2,0.9,0.0,0.6147239701536465,0.85400000,0.67454298,0.73436199,0.79418099,0.67454298,0.25
15,4,0.9,0.0,0.5863084333965564,0.88900000,0.66198133,0.73765422,0.81332711,0.66198133,0.25
16,6,0.9,0.0,0.5573064010956416,0.55900000,0.55772980,0.55815320,0.55857660,0.55772980,0.25
17,0,0.3,1.0,0.5747710603054739,0.32000000,0.51107830,0.44738553,0.38369277,0.51107830,0.25
18,2,0.3,1.0,0.5455870736046975,0.47500000,0.52794031,0.51029354,0.49264677,0.52794031,0.25
19,4,0.3,1.0,0.5160864711911088,0.52500000,0.51831485,0.52054324,0.52277162,0.51831485,0.25
20,6,0.3,1.0,0.48647332643335556,0.34500000,0.45110499,0.41573666,0.38036833,0.45110499,0.25
21,0,0.5,1.0,0.59483399630048,0.25000000,0.50862550,0.42241700,0.33620850,0.50862550,0.25
22,2,0.5,1.0,0.5659872156345069,0.61800000,0.57899041,0.59199361,0.60499680,0.57899041,0.25
23,4,0.5,1.0,0.5366863273434841,0.47900000,0.52226475,0.50784316,0.49342158,0.52226475,0.25
24,6,0.5,1.0,0.5071298916735953,0.45500000,0.49409742,0.48106495,0.46803247,0.49409742,0.25
25,0,0.7,1.0,0.6145850787698105,0.38000000,0.55593881,0.49729254,0.43864627,0.55593881,0.25
26,2,0.7,1.0,0.5861661943807597,0.56000000,0.57962465,0.57308310,0.56654155,0.57962465,0.25
27,4,0.7,1.0,0.5571617219893652,0.51000000,0.54537129,0.53358086,0.52179043,0.54537129,0.25
28,6,0.7,1.0,0.5277621423797006,0.42500000,0.50207161,0.47638107,0.45069054,0.50207161,0.25
29,0,0.9,1.0,0.6339658143627575,0.53000000,0.60797436,0.58198291,0.55599145,0.60797436,0.25
30,2,0.9,1.0,0.6060599814653564,0.79500000,0.65329499,0.70052999,0.74776500,0.65329499,0.25
31,4,0.9,1.0,0.5774446867192027,0.60900000,0.58533352,0.59322234,0.60111117,0.58533352,0.25
32,6,0.9,1.0,0.54829999015537,0.55500000,0.54997499,0.55165000,0.55332500,0.54997499,0.25
33,0,0.3,2.0,0.5658431634334734,0.41300000,0.52763237,0.48942158,0.45121079,0.52763237,0.25
34,2,0.3,2.0,0.5365405134386985,0.50500000,0.52865539,0.52077026,0.51288513,0.52865539,0.25
35,4,0.3,2.0,0.5069833208748399,0.33000000,0.46273749,0.41849166,0.37424583,0.46273749,0.25
36,6,0.3,2.0,0.47737723145479694,0.39500000,0.45678292,0.43618862,0.41559431,0.45678292,0.25
37,0,0.5,2.0,0.5860239409901721,0.40333000,0.54035046,0.49467697,0.44900349,0.54035046,0.25
38,2,0.5,2.0,0.5570170331835825,0.43300000,0.52601277,0.49500852,0.46400426,0.52601277,0.25
39,4,0.5,2.0,0.5276159919645135,0.31000000,0.47321199,0.41880800,0.36440400,0.47321199,0.25
40,6,0.5,2.0,0.49802213531650374,0.55300000,0.51176660,0.52551107,0.53925553,0.51176660,0.25
41,0,0.7,2.0,0.6059199690107073,0.55000000,0.59193998,0.57795998,0.56397999,0.59193998,0.25
42,2,0.7,2.0,0.5773015972643601,0.60000000,0.58297620,0.58865080,0.59432540,0.58297620,0.25
43,4,0.7,2.0,0.5481547540521313,0.44500000,0.52236607,0.49657738,0.47078869,0.52236607,0.25
44,6,0.7,2.0,0.5186737854056919,0.59000000,0.53650534,0.55433689,0.57216845,0.53650534,0.25
45,0,0.9,2.0,0.6254708994144367,0.35500000,0.55785317,0.49023545,0.42261772,0.55785317,0.25
46,2,0.9,2.0,0.5973287837618152,0.60500000,0.59924659,0.60116439,0.60308220,0.59924659,0.25
47,4,0.9,2.0,0.5685307852036752,0.62300000,0.58214809,0.59576539,0.60938270,0.58214809,0.25
48,6,0.9,2.0,0.5392618294499048,0.61000000,0.55694637,0.57463091,0.59231546,0.55694637,0.25
49,0,0.3,3.0,0.5568723347021974,0.12500000,0.44890425,0.34093617,0.23296808,0.44890425,0.25
50,2,0.3,3.0,0.5274698368157249,0.59000000,0.54310238,0.55873492,0.57436746,0.54310238,0.25
51,4,0.3,3.0,0.497875537784698,0.43267000,0.48157415,0.46527277,0.44897138,0.48157415,0.25
52,6,0.3,3.0,0.4682961167540611,0.42333000,0.45705459,0.44581306,0.43457153,0.45705459,0.25
53,0,0.5,3.0,0.5771584948365384,0.39000000,0.53036887,0.48357925,0.43678962,0.53036887,0.25
54,2,0.5,3.0,0.5480095097463223,0.55500000,0.54975713,0.55150475,0.55325238,0.54975713,0.25
55,4,0.5,3.0,0.5185273882904908,0.41300000,0.49214554,0.46576369,0.43938185,0.49214554,0.25
