state,wait,eff,se,P_static,p_LLM_mean,lambda_star,pi_BDT
1,0,0.3,0.0,0.60773610,0.47000000,0.0,0.60773610
2,2,0.3,0.0,0.47575702,0.84500000,0.0,0.47575702
3,4,0.3,0.0,0.34707940,0.86000000,0.0,0.34707940
4,6,0.3,0.0,0.23744188,0.76500000,0.0,0.23744188
5,0,0.5,0.0,0.67473428,0.86500000,0.0,0.67473428
6,2,0.5,0.0,0.54855217,0.82500000,0.0,0.54855217
7,4,0.5,0.0,0.41580187,0.79500000,0.0,0.41580187
8,6,0.5,0.0,0.29423880,0.79000000,0.0,0.29423880
9,0,0.7,0.0,0.73527385,0.98500000,0.0,0.73527385
10,2,0.7,0.0,0.61932712,0.93000000,0.0,0.61932712
11,4,0.7,0.0,0.48796214,0.89500000,0.0,0.48796214
12,6,0.7,0.0,0.35823922,0.97500000,0.0,0.35823922
13,0,0.9,0.0,0.78808450,0.99500000,0.0,0.78808450
14,2,0.9,0.0,0.68537050,0.99500000,0.0,0.68537050
15,4,0.9,0.0,0.56062769,0.97000000,0.0,0.56062769
16,6,0.9,0.0,0.42772381,0.98500000,0.0,0.42772381
17,0,0.3,1.0,0.58325594,0.58500000,0.0,0.58325594
18,2,0.3,1.0,0.45048777,0.71000000,0.0,0.45048777
19,4,0.3,1.0,0.32441531,0.75000000,0.0,0.32441531
20,6,0.3,1.0,0.21952991,0.72000000,0.0,0.21952991
21,0,0.5,1.0,0.65204138,0.71000000,0.0,0.65204138
22,2,0.5,1.0,0.52327579,0.67500000,0.0,0.52327579
23,4,0.5,1.0,0.39133992,0.71700000,0.0,0.39133992
24,6,0.5,1.0,0.27357939,0.69000000,0.0,0.27357939
25,0,0.7,1.0,0.71502072,0.67000000,0.0,0.71502072
26,2,0.7,1.0,0.59508838,0.57000000,0.0,0.59508838
27,4,0.7,1.0,0.46261669,0.61000000,0.0,0.46261669
28,6,0.7,1.0,0.33522054,0.52500000,0.0,0.33522054
29,0,0.9,1.0,0.77061121,0.85000000,0.0,0.77061121
30,2,0.9,1.0,0.66304908,0.80000000,0.0,0.66304908
31,4,0.9,1.0,0.53545485,0.71500000,0.0,0.53545485
32,6,0.9,1.0,0.40304437,0.70500000,0.0,0.40304437
33,0,0.3,2.0,0.55835826,0.62000000,0.0,0.55835826
34,2,0.3,2.0,0.42547140,0.50000000,0.0,0.42547140
35,4,0.3,2.0,0.30254540,0.47000000,0.0,0.30254540
36,6,0.3,2.0,0.20261015,0.70000000,0.0,0.20261015
37,0,0.5,2.0,0.62863663,0.67000000,0.0,0.62863663
38,2,0.5,2.0,0.49787963,0.64000000,0.0,0.49787963
39,4,0.5,2.0,0.36741201,0.68000000,0.0,0.36741201
40,6,0.5,2.0,0.25384881,0.60500000,0.0,0.25384881
41,0,0.7,2.0,0.69386325,0.66000000,0.0,0.69386325
42,2,0.7,2.0,0.57037690,0.52000000,0.0,0.57037690
43,4,0.7,2.0,0.43746298,0.59500000,0.0,0.43746298
44,6,0.7,2.0,0.31295964,0.67000000,0.0,0.31295964
45,0,0.9,2.0,0.75215029,0.78500000,0.0,0.75215029
46,2,0.9,2.0,0.63997593,0.65000000,0.0,0.63997593
47,4,0.9,2.0,0.51010006,0.65000000,0.0,0.51010006
48,6,0.9,2.0,0.37884625,0.65000000,0.0,0.37884625
49,0,0.3,3.0,0.53316366,0.67000000,0.0,0.53316366
50,2,0.3,3.0,0.40083090,0.59500000,0.0,0.40083090
51,4,0.3,3.0,0.28153542,0.62000000,0.0,0.28153542
52,6,0.3,3.0,0.18668253,0.68000000,0.0,0.18668253
53,0,0.5,3.0,0.60461222,0.64000000,0.0,0.60461222
54,2,0.5,3.0,0.47249439,0.61000000,0.0,0.47249439
55,4,0.5,3.0,0.34411997,0.58000000,0.0,0.34411997
56,6,0.5,3.0,0.23508070,0.60000000,0.0,0.23508070
57,0,0.7,3.0,0.67185587,0.64000000,0.0,0.67185587
58,2,0.7,3.0,0.54530961,0.68000000,0.0,0.54530961
59,4,0.7,3.0,0.41262678,0.53000000,0.0,0.41262678
60,6,0.7,3.0,0.29152875,0.60000000,0.0,0.29152875
61,0,0.9,3.0,0.73271896,0.78500000,0.0,0.73271896
62,2,0.9,3.0,0.61623727,0.61000000,0.0,0.61623727
63,4,0.9,3.0,0.48469320,0.74000000,0.0,0.48469320
64,6,0.9,3.0,0.35523640,0.53000000,0.0,0.35523640
