state,wait,eff,se,P_static,p_LLM_mean,pi_BDT_lam0.25,pi_BDT_lam0.50,pi_BDT_lam0.75,pi_BDT_mseopt,lambda_star
1,0,0.3,0.0,0.60773610,0.22000000,0.51080208,0.41386805,0.31693403,0.51080208,0.25
2,2,0.3,0.0,0.47575702,0.31000000,0.43431776,0.39287851,0.35143925,0.43431776,0.25
3,4,0.3,0.0,0.34707940,0.53000000,0.39280955,0.43853970,0.48426985,0.39280955,0.25
4,6,0.3,0.0,0.23744188,0.47000000,0.29558141,0.35372094,0.41186047,0.29558141,0.25
5,0,0.5,0.0,0.67473428,0.52500000,0.63730071,0.59986714,0.56243357,0.63730071,0.25
6,2,0.5,0.0,0.54855217,0.43000000,0.51891413,0.48927608,0.45963804,0.51891413,0.25
7,4,0.5,0.0,0.41580187,0.28500000,0.38310140,0.35040094,0.31770047,0.38310140,0.25
8,6,0.5,0.0,0.29423880,0.74000000,0.40567910,0.51711940,0.62855970,0.40567910,0.25
9,0,0.7,0.0,0.73527385,0.46000000,0.66645539,0.59763692,0.52881846,0.66645539,0.25
10,2,0.7,0.0,0.61932712,0.48500000,0.58574534,0.55216356,0.51858178,0.58574534,0.25
11,4,0.7,0.0,0.48796214,0.72900000,0.54822160,0.60848107,0.66874053,0.54822160,0.25
12,6,0.7,0.0,0.35823922,0.49000000,0.39117942,0.42411961,0.45705980,0.39117942,0.25
13,0,0.9,0.0,0.78808450,0.38000000,0.68606337,0.58404225,0.48202113,0.68606337,0.25
14,2,0.9,0.0,0.68537050,0.85400000,0.72752788,0.76968525,0.81184262,0.72752788,0.25
15,4,0.9,0.0,0.56062769,0.88900000,0.64272077,0.72481385,0.80690692,0.64272077,0.25
16,6,0.9,0.0,0.42772381,0.55900000,0.46054286,0.49336190,0.52618095,0.46054286,0.25
17,0,0.3,1.0,0.58325594,0.32000000,0.51744196,0.45162797,0.38581398,0.51744196,0.25
18,2,0.3,1.0,0.45048777,0.47500000,0.45661583,0.46274388,0.46887194,0.45661583,0.25
19,4,0.3,1.0,0.32441531,0.52500000,0.37456148,0.42470766,0.47485383,0.37456148,0.25
20,6,0.3,1.0,0.21952991,0.34500000,0.25089743,0.28226496,0.31363248,0.25089743,0.25
21,0,0.5,1.0,0.65204138,0.25000000,0.55153104,0.45102069,0.35051035,0.55153104,0.25
22,2,0.5,1.0,0.52327579,0.61800000,0.54695684,0.57063789,0.59431895,0.54695684,0.25
23,4,0.5,1.0,0.39133992,0.47900000,0.41325494,0.43516996,0.45708498,0.41325494,0.25
24,6,0.5,1.0,0.27357939,0.45500000,0.31893454,0.36428969,0.40964485,0.31893454,0.25
25,0,0.7,1.0,0.71502072,0.38000000,0.63126554,0.54751036,0.46375518,0.63126554,0.25
26,2,0.7,1.0,0.59508838,0.56000000,0.58631628,0.57754419,0.56877209,0.58631628,0.25
27,4,0.7,1.0,0.46261669,0.51000000,0.47446252,0.48630834,0.49815417,0.47446252,0.25
28,6,0.7,1.0,0.33522054,0.42500000,0.35766541,0.38011027,0.40255513,0.35766541,0.25
29,0,0.9,1.0,0.77061121,0.53000000,0.71045841,0.65030561,0.59015280,0.71045841,0.25
30,2,0.9,1.0,0.66304908,0.79500000,0.69603681,0.72902454,0.76201227,0.69603681,0.25
31,4,0.9,1.0,0.53545485,0.60900000,0.55384114,0.57222743,0.59061371,0.55384114,0.25
32,6,0.9,1.0,0.40304437,0.55500000,0.44103328,0.47902219,0.51701109,0.44103328,0.25
33,0,0.3,2.0,0.55835826,0.41300000,0.52201869,0.48567913,0.44933956,0.52201869,0.25
34,2,0.3,2.0,0.42547140,0.50500000,0.44535355,0.46523570,0.48511785,0.44535355,0.25
35,4,0.3,2.0,0.30254540,0.33000000,0.30940905,0.31627270,0.32313635,0.30940905,0.25
36,6,0.3,2.0,0.20261015,0.39500000,0.25070761,0.29880507,0.34690254,0.25070761,0.25
37,0,0.5,2.0,0.62863663,0.40333000,0.57230997,0.51598332,0.45965666,0.57230997,0.25
38,2,0.5,2.0,0.49787963,0.43300000,0.48165972,0.46543981,0.44921991,0.48165972,0.25
39,4,0.5,2.0,0.36741201,0.31000000,0.35305901,0.33870601,0.32435300,0.35305901,0.25
40,6,0.5,2.0,0.25384881,0.55300000,0.32863661,0.40342440,0.47821220,0.32863661,0.25
41,0,0.7,2.0,0.69386325,0.55000000,0.65789744,0.62193162,0.58596581,0.65789744,0.25
42,2,0.7,2.0,0.57037690,0.60000000,0.57778268,0.58518845,0.59259422,0.57778268,0.25
43,4,0.7,2.0,0.43746298,0.44500000,0.43934724,0.44123149,0.44311575,0.43934724,0.25
44,6,0.7,2.0,0.31295964,0.59000000,0.38221973,0.45147982,0.52073991,0.38221973,0.25
45,0,0.9,2.0,0.75215029,0.35500000,0.65286272,0.55357514,0.45428757,0.65286272,0.25
46,2,0.9,2.0,0.63997593,0.60500000,0.63123195,0.62248796,0.61374398,0.63123195,0.25
47,4,0.9,2.0,0.51010006,0.62300000,0.53832504,0.56655003,0.59477501,0.53832504,0.25
48,6,0.9,2.0,0.37884625,0.61000000,0.43663469,0.49442312,0.55221156,0.43663469,0.25
49,0,0.3,3.0,0.53316366,0.12500000,0.43112275,0.32908183,0.22704092,0.43112275,0.25
50,2,0.3,3.0,0.40083090,0.59000000,0.44812317,0.49541545,0.54270772,0.44812317,0.25
51,4,0.3,3.0,0.28153542,0.43267000,0.31931906,0.35710271,0.39488636,0.31931906,0.25
52,6,0.3,3.0,0.18668253,0.42333000,0.24584440,0.30500626,0.36416813,0.24584440,0.25
53,0,0.5,3.0,0.60461222,0.39000000,0.55095917,0.49730611,0.44365305,0.55095917,0.25
54,2,0.5,3.0,0.47249439,0.55500000,0.49312079,0.51374719,0.53437360,0.49312079,0.25
55,4,0.5,3.0,0.34411997,0.41300000,0.36133998,0.37855998,0.39577999,0.36133998,0.25
56,6,0.5,3.0,0.23508070,0.57000000,0.31881052,0.40254035,0.48627017,0.31881052,0.25
57,0,0.7,3.0,0.67185587,0.32500000,0.58514190,0.49842794,0.41171397,0.58514190,0.25
58,2,0.7,3.0,0.54530961,0.72500000,0.59023221,0.63515480,0.68007740,0.59023221,0.25
59,4,0.7,3.0,0.41262678,0.65500000,0.47322009,0.53381339,0.59440669,0.47322009,0.25
60,6,0.7,3.0,0.29152875,0.59500000,0.36739656,0.44326437,0.51913219,0.36739656,0.25
61,0,0.9,3.0,0.73271896,0.48500000,0.67078922,0.60885948,0.54692974,0.67078922,0.25
62,2,0.9,3.0,0.61623727,0.66000000,0.62717795,0.63811863,0.64905932,0.62717795,0.25
63,4,0.9,3.0,0.48469320,0.64500000,0.52476990,0.56484660,0.60492330,0.52476990,0.25
64,6,0.9,3.0,0.35523640,0.72000000,0.44642730,0.53761820,0.62880910,0.44642730,0.25
